,status,player_id,team_id,role,name,team,elim_per_10m,death_per_10m,dmg_per_10m,heal_per_10m,ults_per_10m,finalblows_per_10m,duration,elims,deaths,damage,heal,ults,finalblows
0,NO_CHANGE,5197,7697,flexdps,Ado,WAS,,,,,,,,,,,,,
1,NO_CHANGE,8675,7693,flexdps,Adora,HZS,,,,,,,,,,,,,
2,NO_CHANGE,4142,4405,flexdps,Agilities,VAL,,,,,,,,,,,,,
3,NO_CHANGE,8751,7695,flexsupport,Aid,TOR,,,,,,,,,,,,,
4,NO_CHANGE,5863,4402,flexsupport,AimGod,BOS,,,,,,,,,,,,,
5,NO_CHANGE,3985,4523,maindps,aKm,DAL,,,,,,,,,,,,,
6,NO_CHANGE,8672,4402,mainsupport,alemao,BOS,,,,,,,,,,,,,
7,NO_CHANGE,8812,7692,maintank,ameng,CDH,,,,,,,,,,,,,
8,NO_CHANGE,4841,4403,mainsupport,Anamo,NYE,,,,,,,,,,,,,
9,NO_CHANGE,6981,4407,flexdps,Apply,FLA,,,,,,,,,,,,,
10,NO_CHANGE,5715,4404,flexdps,Architect,SFS,,,,,,,,,,,,,
11,NO_CHANGE,4652,7697,mainsupport,ArK,WAS,,,,,,,,,,,,,
12,NO_CHANGE,5878,4402,maintank,Axxiom,BOS,,,,,,,,,,,,,
13,NO_CHANGE,8896,7692,maindps,Baconjack,CDH,,,,,,,,,,,,,
14,NO_CHANGE,4624,4525,flexsupport,Bani,HOU,,,,,,,,,,,,,
15,NO_CHANGE,8676,7693,flexdps,Bazzi,HZS,,,,,,,,,,,,,
16,NO_CHANGE,4655,4410,flexsupport,Bdosin,LDN,,,,,,,,,,,,,
17,NO_CHANGE,8731,7693,flexsupport,BEBE,HZS,,,,,,,,,,,,,
18,NO_CHANGE,8708,7694,maintank,BenBest,PAR,,,,,,,,,,,,,
19,NO_CHANGE,4643,4406,mainsupport,BigG00se,GLA,,,,,,,,,,,,,
20,NO_CHANGE,4656,4410,maindps,BIRDRING,LDN,,,,,,,,,,,,,
21,NO_CHANGE,8184,4402,flexdps,blase,BOS,,,,,,,,,,,,,
22,NO_CHANGE,4625,4525,mainsupport,Boink,HOU,,,,,,,,,,,,,
23,Updated,4079,4524,flexsupport,Boombox,PHI,9.158600148920328,4.467609828741623,8950.893712274546,11211.69024571854,5.807892777364111,1.340282948622487,2686,41,20,40070.16751861572,50191,26,6
24,NO_CHANGE,8704,4407,maindps,bqb,FLA,,,,,,,,,,,,,
25,Updated,8771,7696,maintank,BUMPER,VAN,18.138586956521742,6.114130434782609,8249.070887316193,0.0,4.891304347826087,6.72554347826087,2944,89,30,40475.44115376478,0,24,33
26,Updated,4620,4524,maindps,carpe,PHI,13.40282948622487,4.690990320178704,10626.079927685527,0.0,4.244229337304542,3.3507073715562177,2686,60,21,47569.41780960554,0,19,15
27,NO_CHANGE,8721,7699,mainsupport,Chara,GZC,,,,,,,,,,,,,
28,Updated,5831,4404,offtank,Choihyobin,SFS,18.9873417721519,2.2338049143708116,6358.180365303713,0.0,1.1169024571854058,4.914370811615786,2686,85,10,28463.454102009622,0,5,22
29,NO_CHANGE,4663,4523,mainsupport,Closer,DAL,,,,,,,,,,,,,
30,NO_CHANGE,5306,4402,maindps,ColourHex,BOS,,,,,,,,,,,,,
31,NO_CHANGE,8892,4408,mainsupport,CoMa,SHD,,,,,,,,,,,,,
32,NO_CHANGE,4138,4525,offtank,coolmatt,HOU,,,,,,,,,,,,,
33,NO_CHANGE,8784,7697,maindps,Corey,WAS,,,,,,,,,,,,,
34,NO_CHANGE,3577,4405,mainsupport,Custa,VAL,,,,,,,,,,,,,
35,NO_CHANGE,8701,7698,offtank,Daco,ATL,,,,,,,,,,,,,
36,NO_CHANGE,8711,7698,maindps,dafran,ATL,,,,,,,,,,,,,
37,NO_CHANGE,4489,4525,maindps,Danteh,HOU,,,,,,,,,,,,,
38,NO_CHANGE,8895,4408,maindps,DDing,SHD,,,,,,,,,,,,,
39,NO_CHANGE,8180,4406,maindps,Decay,GLA,,,,,,,,,,,,,
40,NO_CHANGE,8893,4408,maindps,diem,SHD,,,,,,,,,,,,,
41,NO_CHANGE,9251,7698,flexsupport,Dogman,ATL,,,,,,,,,,,,,
42,NO_CHANGE,4616,4523,maindps,EFFECT,DAL,,,,,,,,,,,,,
43,NO_CHANGE,8722,7699,flexdps,Eileen,GZC,,,,,,,,,,,,,
44,NO_CHANGE,5175,4524,flexsupport,Elk,PHI,,,,,,,,,,,,,
45,NO_CHANGE,8787,7692,offtank,Elsa,CDH,,,,,,,,,,,,,
46,NO_CHANGE,4634,7695,offtank,Envy,TOR,,,,,,,,,,,,,
47,Updated,4083,4524,flexdps,eqo,PHI,12.509307520476545,5.807892777364111,5578.141314754391,10556.962025316456,5.361131794489948,3.5740878629932986,2686,56,26,24971.479285717156,47260,24,16
48,NO_CHANGE,8692,7698,flexdps,Erster,ATL,,,,,,,,,,,,,
49,NO_CHANGE,8684,7697,mainsupport,Fahzix,WAS,,,,,,,,,,,,,
50,NO_CHANGE,4636,4405,maintank,Fate,VAL,,,,,,,,,,,,,
51,NO_CHANGE,5864,7694,offtank,Finnsi,PAR,,,,,,,,,,,,,
52,Updated,4657,4409,maintank,Fissure,SEO,13.406507252058015,7.29125833006664,6732.058675370492,0.0,3.7632301058408464,3.9984319874558993,2551,57,31,28622.469468116877,0,16,17
53,Updated,8831,4409,maindps,FITS,SEO,12.244897959183673,4.591836734693878,11657.427183888396,0.0,4.591836734693878,7.653061224489796,392,8,3,7616.185760140419,0,3,5
54,Updated,4631,4409,maindps,Fleta,SEO,16.92150866462793,6.116207951070336,9397.36974997619,1349.4393476044852,4.485219164118247,5.300713557594292,2943,83,30,46094.09862363321,6619,22,26
55,NO_CHANGE,4659,4410,offtank,Fury,LDN,,,,,,,,,,,,,
56,NO_CHANGE,8203,4402,maintank,Fusions,BOS,,,,,,,,,,,,,
57,NO_CHANGE,4606,4408,maintank,Gamsu,SHD,,,,,,,,,,,,,
58,NO_CHANGE,8712,7698,maintank,Gator,ATL,,,,,,,,,,,,,
59,NO_CHANGE,5210,4408,offtank,Geguri,SHD,,,,,,,,,,,,,
60,NO_CHANGE,4666,4410,maintank,Gesture,LDN,,,,,,,,,,,,,
61,NO_CHANGE,4413,7697,flexsupport,Gido,WAS,,,,,,,,,,,,,
62,NO_CHANGE,8713,7693,maindps,GodsB,HZS,,,,,,,,,,,,,
63,NO_CHANGE,8789,4410,flexdps,Guard,LDN,,,,,,,,,,,,,
64,NO_CHANGE,8863,4408,flexdps,GuardiaN,SHD,,,,,,,,,,,,,
65,NO_CHANGE,8741,7693,maintank,Guxue,HZS,,,,,,,,,,,,,
66,NO_CHANGE,4664,4407,flexsupport,HaGoPeun,FLA,,,,,,,,,,,,,
67,Updated,8750,7696,flexdps,Haksal,VAN,22.22222222222222,3.4658511722731906,6658.387823036778,9054.434250764525,5.504587155963303,5.708460754332314,2943,109,17,32659.3922719954,44412,27,28
68,NO_CHANGE,8723,7699,maindps,Happy,GZC,,,,,,,,,,,,,
69,NO_CHANGE,4671,7699,offtank,HOTBA,GZC,,,,,,,,,,,,,
70,NO_CHANGE,4645,4406,flexdps,Hydration,GLA,,,,,,,,,,,,,
71,NO_CHANGE,8782,7697,mainsupport,Hyeonu,WAS,,,,,,,,,,,,,
72,NO_CHANGE,8742,7694,mainsupport,HyP,PAR,,,,,,,,,,,,,
73,NO_CHANGE,8717,7693,mainsupport,iDK,HZS,,,,,,,,,,,,,
74,NO_CHANGE,8754,7695,maindps,ivy,TOR,,,,,,,,,,,,,
75,NO_CHANGE,5872,4405,flexsupport,IZaYaKI,VAL,,,,,,,,,,,,,
76,NO_CHANGE,4140,4525,flexdps,Jake,HOU,,,,,,,,,,,,,
77,NO_CHANGE,4648,7697,maintank,Janus,WAS,,,,,,,,,,,,,
78,Updated,8179,4409,mainsupport,Jecse,SEO,12.460815047021944,4.93730407523511,4016.4014272181525,5457.6018808777435,2.8213166144200628,3.5266457680250785,2552,53,21,17083.09407043454,23213,12,15
79,NO_CHANGE,8811,7692,flexdps,JinMu,CDH,,,,,,,,,,,,,
80,Updated,8748,7696,offtank,JJANU,VAN,21.59592529711375,3.870967741935484,6487.0448400472105,0.0,1.833616298811545,5.500848896434635,2945,106,19,31840.578423231724,0,9,27
81,NO_CHANGE,4653,4403,flexsupport,JJONAK,NYE,,,,,,,,,,,,,
82,NO_CHANGE,4635,4405,maindps,KariV,VAL,,,,,,,,,,,,,
83,NO_CHANGE,3981,4402,mainsupport,Kellex,BOS,,,,,,,,,,,,,
84,NO_CHANGE,8691,7698,flexsupport,Kodak,ATL,,,,,,,,,,,,,
85,NO_CHANGE,8706,4407,mainsupport,Kris,FLA,,,,,,,,,,,,,
86,NO_CHANGE,8744,7694,mainsupport,Kruise,PAR,,,,,,,,,,,,,
87,NO_CHANGE,5865,4405,maindps,KSF,VAL,,,,,,,,,,,,,
88,NO_CHANGE,4647,4405,mainsupport,KuKi,VAL,,,,,,,,,,,,,
89,NO_CHANGE,8674,7699,flexdps,Kyb,GZC,,,,,,,,,,,,,
90,NO_CHANGE,8772,7692,flexsupport,Kyo,CDH,,,,,,,,,,,,,
91,NO_CHANGE,8786,7692,offtank,lateyoung,CDH,,,,,,,,,,,,,
92,NO_CHANGE,4654,4403,flexdps,Libero,NYE,,,,,,,,,,,,,
93,NO_CHANGE,4629,4525,flexdps,LiNkzr,HOU,,,,,,,,,,,,,
94,NO_CHANGE,8891,4408,flexsupport,Luffy,SHD,,,,,,,,,,,,,
95,NO_CHANGE,4093,4403,maintank,Mano,NYE,,,,,,,,,,,,,
96,Updated,8218,4409,maintank,Marve1,SEO,10.714285714285715,10.714285714285715,7112.308186900893,0.0,4.591836734693878,1.530612244897959,392,7,7,4646.708015441916,0,3,1
97,NO_CHANGE,8681,7698,mainsupport,Masaa,ATL,,,,,,,,,,,,,
98,NO_CHANGE,9285,4407,offtank,Mcgravy,FLA,,,,,,,,,,,,,
99,NO_CHANGE,4649,4403,offtank,MekO,NYE,,,,,,,,,,,,,
100,Updated,8242,4409,offtank,Michelle,SEO,16.69278996865204,4.93730407523511,6496.763445364565,35.03134796238245,2.8213166144200628,3.7617554858934175,2552,71,21,27632.900520950614,149,12,16
101,Updated,5716,4404,mainsupport,moth,SFS,14.966492926284438,2.9039463886820553,4305.056127433174,7417.795979151154,3.1273268801191363,2.457185405807893,2686,67,13,19272.301263809175,33207,14,11
102,NO_CHANGE,4623,4525,maintank,Muma,HOU,,,,,,,,,,,,,
103,Updated,4642,4409,flexdps,Munchkin,SEO,14.576802507836993,6.818181818181818,5281.046687930722,7330.015673981192,4.231974921630094,3.29153605015674,2552,62,29,22462.051912665338,31177,18,14
104,NO_CHANGE,4612,7695,flexsupport,Neko,TOR,,,,,,,,,,,,,
105,NO_CHANGE,8236,4403,maindps,Nenne,NYE,,,,,,,,,,,,,
106,Updated,4024,4524,mainsupport,neptuNo,PHI,9.158600148920328,5.584512285927029,5216.341706309302,5255.026061057334,2.9039463886820553,1.340282948622487,2686,41,25,23351.823038577975,23525,13,6
107,NO_CHANGE,4626,4404,offtank,Nevix,SFS,,,,,,,,,,,,,
108,NO_CHANGE,8743,7694,flexdps,NiCOgdh,PAR,,,,,,,,,,,,,
109,NO_CHANGE,8671,7698,flexdps,NLaaeR,ATL,,,,,,,,,,,,,
110,NO_CHANGE,8714,7693,maintank,NoSmite,HZS,,,,,,,,,,,,,
111,NO_CHANGE,4607,4402,offtank,NotE,BOS,,,,,,,,,,,,,
112,NO_CHANGE,4660,4410,mainsupport,NUS,LDN,,,,,,,,,,,,,
113,NO_CHANGE,5717,4523,maintank,OGE,DAL,,,,,,,,,,,,,
114,Updated,4668,4524,offtank,Poko,PHI,10.498883097542814,4.467609828741623,6454.0841808735395,2.2338049143708116,4.914370811615786,3.5740878629932986,2686,47,20,28892.78351637721,10,22,16
115,NO_CHANGE,8702,7698,maintank,Pokpo,ATL,,,,,,,,,,,,,
116,NO_CHANGE,4662,4410,maindps,Profit,LDN,,,,,,,,,,,,,
117,NO_CHANGE,8781,7696,flexsupport,RAPEL,VAN,,,,,,,,,,,,,
118,Updated,4658,4404,flexdps,Rascal,SFS,16.753536857781086,3.3507073715562177,5063.725560402033,10327.997021593448,5.361131794489948,4.020848845867461,2686,75,15,22668.611425399766,46235,24,18
119,NO_CHANGE,4136,4525,flexsupport,Rawkus,HOU,,,,,,,,,,,,,
120,NO_CHANGE,8801,4523,offtank,rCk,DAL,,,,,,,,,,,,,
121,NO_CHANGE,8715,7693,flexsupport,Revenge,HZS,,,,,,,,,,,,,
122,NO_CHANGE,8716,7693,offtank,Ria,HZS,,,,,,,,,,,,,
123,NO_CHANGE,8724,7699,maintank,Rio,GZC,,,,,,,,,,,,,
124,NO_CHANGE,8222,4406,maintank,rOar,GLA,,,,,,,,,,,,,
125,NO_CHANGE,8687,7695,mainsupport,RoKy,TOR,,,,,,,,,,,,,
126,Updated,4105,4409,flexsupport,ryujehong,SEO,14.062500000000002,4.279891304347826,7637.095558173607,9259.44293478261,4.076086956521739,3.2608695652173916,2944,69,21,37472.6822054385,45433,20,16
127,Updated,4669,4524,maintank,Sado,PHI,9.60536113179449,7.818317200297841,6518.577433977186,0.0,4.467609828741623,3.1273268801191363,2686,43,35,29181.498312771204,0,20,14
128,NO_CHANGE,4099,4403,flexdps,Saebyeolbe,NYE,,,,,,,,,,,,,
129,NO_CHANGE,8730,7697,offtank,Sansam,WAS,,,,,,,,,,,,,
130,NO_CHANGE,5442,4407,maindps,sayaplayer,FLA,,,,,,,,,,,,,
131,Updated,8728,7696,maindps,SeoMinSoo,VAN,23.445463812436287,3.261977573904179,10711.039945996597,0.0,4.689092762487258,6.727828746177369,2943,115,16,52537.65093511331,0,23,33
132,NO_CHANGE,3479,7694,maindps,ShaDowBurn,PAR,,,,,,,,,,,,,
133,NO_CHANGE,4644,4406,flexsupport,Shaz,GLA,,,,,,,,,,,,,
134,NO_CHANGE,8725,7699,flexsupport,shu,GZC,,,,,,,,,,,,,
135,Updated,4139,4404,maindps,sinatraa,SFS,23.454951600893523,2.457185405807893,14084.751176447933,0.0,5.807892777364111,9.158600148920328,2686,105,11,63052.73609989858,0,26,41
136,NO_CHANGE,4488,4404,flexsupport,sleepy,SFS,,,,,,,,,,,,,
137,Updated,8749,7696,mainsupport,SLIME,VAN,17.940876656472987,3.4658511722731906,4472.151030167144,4933.94495412844,2.650356778797146,3.6697247706422016,2943,88,17,21935.900802969845,24201,13,18
138,NO_CHANGE,7831,4404,maintank,Smurf,SFS,,,,,,,,,,,,,
139,NO_CHANGE,4493,4524,flexdps,snillo,PHI,,,,,,,,,,,,,
140,NO_CHANGE,3987,7694,maindps,SoOn,PAR,,,,,,,,,,,,,
141,NO_CHANGE,4637,4405,offtank,SPACE,VAL,,,,,,,,,,,,,
142,NO_CHANGE,4094,4525,offtank,SPREE,HOU,,,,,,,,,,,,,
143,NO_CHANGE,8752,7695,flexdps,Stellar,TOR,,,,,,,,,,,,,
144,NO_CHANGE,8747,7696,maindps,Stitch,VAN,,,,,,,,,,,,,
145,NO_CHANGE,8783,7697,flexdps,Stratus,WAS,,,,,,,,,,,,,
146,NO_CHANGE,4610,4404,maindps,STRIKER,SFS,,,,,,,,,,,,,
147,Updated,4490,4404,maintank,super,SFS,19.880863737900224,2.9039463886820553,10334.89437667803,0.0,5.137751303052867,7.59493670886076,2686,89,13,46265.877159595315,0,23,34
148,NO_CHANGE,4144,4406,maindps,Surefour,GLA,,,,,,,,,,,,,
149,NO_CHANGE,8705,4407,maintank,SWoN,FLA,,,,,,,,,,,,,
150,Updated,4104,4409,mainsupport,tobi,SEO,6.122448979591836,4.591836734693878,3963.520390646815,6750.0,3.061224489795918,0.0,392,4,3,2589.499988555919,4410,2,0
151,NO_CHANGE,3504,4407,flexdps,TviQ,FLA,,,,,,,,,,,,,
152,Updated,8729,7696,flexsupport,Twilight,VAN,21.60326086956522,3.8722826086956523,7837.265838366824,7511.413043478262,4.076086956521739,4.891304347826087,2944,106,19,38454.85104691988,36856,20,24
153,NO_CHANGE,3983,4523,flexsupport,uNKOE,DAL,,,,,,,,,,,,,
154,Updated,8688,4404,flexsupport,Viol2t,SFS,18.093819806403573,3.5740878629932986,8434.03771354561,10833.507073715562,4.690990320178704,3.3507073715562177,2686,81,16,37756.37549763918,48498,21,15
155,NO_CHANGE,5809,4406,offtank,Void,GLA,,,,,,,,,,,,,
156,NO_CHANGE,4640,4407,offtank,xepheR,FLA,,,,,,,,,,,,,
157,NO_CHANGE,8753,7695,maintank,Yakpung,TOR,,,,,,,,,,,,,
158,NO_CHANGE,8894,4408,flexdps,YOUNGJIN,SHD,,,,,,,,,,,,,
159,NO_CHANGE,8813,7692,mainsupport,Yveltal,CDH,,,,,,,,,,,,,
160,NO_CHANGE,8642,4523,flexdps,ZachaREEE,DAL,,,,,,,,,,,,,
161,Updated,4098,4409,offtank,ZUNBA,SEO,10.714285714285715,6.122448979591836,6188.158615374421,0.0,4.591836734693878,3.061224489795918,392,7,4,4042.930295377955,0,3,2
