,Unnamed: 0_prev,playerId_prev,teamId_prev,role_prev,name,team_prev,eliminations_avg_per_10m_prev,deaths_avg_per_10m_prev,hero_damage_avg_per_10m_prev,healing_avg_per_10m_prev,ultimates_earned_avg_per_10m_prev,final_blows_avg_per_10m_prev,time_played_total_prev,total_elims_prev,total_deaths_prev,total_hero_damage_prev,total_healing_prev,total_ultimates_prev,total_final_blows_prev,Unnamed: 0_curr,playerId_curr,teamId_curr,role_curr,team_curr,eliminations_avg_per_10m_curr,deaths_avg_per_10m_curr,hero_damage_avg_per_10m_curr,healing_avg_per_10m_curr,ultimates_earned_avg_per_10m_curr,final_blows_avg_per_10m_curr,time_played_total_curr,total_elims_curr,total_deaths_curr,total_hero_damage_curr,total_healing_curr,total_ultimates_curr,total_final_blows_curr
51,51.0,5864.0,7694.0,offtank,Finnsi,PAR,21.390250310574967,3.75152082370084,6870.787576102819,0.0,4.080601597709686,6.120902396564528,9116.30285614729,325.00000000000006,56.99999999999999,104393.63400667906,0.0,62.00000000000001,93.0,51,5864,7694,offtank,PAR,19.891434216321866,4.608417383450455,6806.220119691082,0.0,4.044121377313664,5.831058730080168,12759.260958254335,423.00000000000006,98.0,144737.2310774326,0.0,85.99999999999996,124.0
52,52.0,4657.0,4409.0,maintank,Fissure,SEO,15.99476412196154,5.701482904718348,8093.900123181617,0.0,4.4387383687740165,5.012713157839621,15680.13120341301,418.0,149.0,211522.35979801413,0.0,116.00000000000004,131.0,52,4657,4409,maintank,SEO,15.99476412196154,5.701482904718348,8093.900123181617,0.0,4.4387383687740165,5.012713157839621,15680.13120341301,418.0,149.0,211522.35979801413,0.0,116.00000000000004,131.0
53,53.0,4631.0,4409.0,maindps,Fleta,SEO,19.363291475423114,4.439015437053518,10457.456555339711,685.4067506941374,4.209411190309373,6.888127402324427,15679.152502834795,506.0,115.99999999999996,273273.426871568,17910.99495100975,110.0,179.99999999999997,53,4631,4409,maindps,SEO,19.363291475423114,4.439015437053518,10457.456555339711,685.4067506941374,4.209411190309373,6.888127402324427,15679.152502834795,506.0,115.99999999999996,273273.426871568,17910.99495100975,110.0,179.99999999999997
54,54.0,4659.0,4410.0,offtank,Fury,LDN,19.913873881126595,2.7190097029999767,7205.18919867045,17.869768897425423,3.3317442839577183,6.6634885679154365,15667.468914508818,519.9999999999999,70.99999999999997,188145.12965554,466.6234145164489,86.99999999999996,173.99999999999991,54,4659,4410,offtank,LDN,19.913873881126595,2.7190097029999767,7205.18919867045,17.869768897425423,3.3317442839577183,6.6634885679154365,15667.468914508818,519.9999999999999,70.99999999999997,188145.12965554,466.6234145164489,86.99999999999996,173.99999999999991
55,55.0,8203.0,4402.0,maintank,Fusions,BOS,14.3496842960801,6.840671417857362,8177.8022802411415,0.0,4.4818192048031,4.835647036761238,15261.659802496433,365.0,173.99999999999997,208011.39388853317,0.0,114.0,122.99999999999996,55,8203,4402,maintank,BOS,14.3496842960801,6.840671417857362,8177.8022802411415,0.0,4.4818192048031,4.835647036761238,15261.659802496433,365.0,173.99999999999997,208011.39388853317,0.0,114.0,122.99999999999996
56,56.0,4606.0,4408.0,maintank,Gamsu,SHD,16.981746564524087,6.527802300569147,7045.47847749885,0.0,4.162656539493369,5.912864402689445,12684.207668602468,359.00000000000006,138.0,148943.85355544093,0.0,88.00000000000001,125.0,56,4606,4408,maintank,SHD,16.480821708747953,6.988466348153898,7179.565367301291,0.0,4.2229769911304285,5.680464625237392,16055.024723649023,440.99999999999983,187.00000000000003,192113.49912846085,0.0,113.0,152.00000000000003
57,57.0,8712.0,7698.0,maintank,Gator,ATL,13.437371910236076,5.8788502107282845,6701.287101222071,0.0,4.1991787219487735,5.8788502107282845,714.4254147410393,15.999999999999998,7.000000000000001,7979.283027648925,0.0,4.999999999999999,7.000000000000001,57,8712,7698,maintank,ATL,13.437371910236076,5.8788502107282845,6701.287101222071,0.0,4.1991787219487735,5.8788502107282845,714.4254147410393,15.999999999999998,7.000000000000001,7979.283027648925,0.0,4.999999999999999,7.000000000000001
58,58.0,5210.0,4408.0,offtank,Geguri,SHD,16.858370183202798,5.438183930065417,6097.4714897964905,0.0,3.5892013938431746,4.241783465451025,5516.5475066304225,155.00000000000009,50.00000000000001,56061.651906311534,0.0,33.0,39.00000000000001,58,5210,4408,offtank,SHD,17.76894762492351,5.349790682772671,6544.531152408513,0.0,3.6302151061671695,5.063194753338419,6280.61955922842,186.0,56.0,68506.1839363277,0.0,38.0,52.99999999999999
59,59.0,4666.0,4410.0,maintank,Gesture,LDN,16.429967494501806,4.9787780286369125,7615.111666719976,0.0,4.5957951033571485,5.055374613692863,15666.494780719282,429.00000000000006,130.00000000000006,198836.84530210504,0.0,120.0,132.00000000000003,59,4666,4410,maintank,LDN,16.429967494501806,4.9787780286369125,7615.111666719976,0.0,4.5957951033571485,5.055374613692863,15666.494780719282,429.00000000000006,130.00000000000006,198836.84530210504,0.0,120.0,132.00000000000003
60,60.0,4413.0,7697.0,flexsupport,Gido,WAS,8.851892283350244,5.474869793748417,7706.7839370771,10251.828374476407,4.809698697311694,2.2001813189830086,11726.306271851065,173.00000000000003,107.0,150620.18136191374,200360.132275939,94.0,43.0,60,4413,7697,flexsupport,WAS,8.851892283350244,5.474869793748417,7706.7839370771,10251.828374476407,4.809698697311694,2.2001813189830086,11726.306271851065,173.00000000000003,107.0,150620.18136191374,200360.132275939,94.0,43.0
61,61.0,8713.0,7693.0,maindps,GodsB,HZS,18.70130934153665,4.4133820008040665,10686.345440275214,71.93749244596728,4.4133820008040665,6.064431382399831,18897.07258170843,588.9999999999999,139.00000000000003,336567.7423634827,2265.6800268292427,139.00000000000003,191.0,61,8713,7693,maindps,HZS,18.70130934153665,4.4133820008040665,10686.345440275214,71.93749244596728,4.4133820008040665,6.064431382399831,18897.07258170843,588.9999999999999,139.00000000000003,336567.7423634827,2265.6800268292427,139.00000000000003,191.0
62,62.0,8789.0,4410.0,flexdps,Guard,LDN,18.002167964805434,3.861663790557632,6016.5871087068135,7458.365849233483,5.111025605149808,3.520928750214312,10565.394144296646,317.0,67.99999999999999,105946.02367830275,131334.2914491892,90.00000000000001,62.0,62,8789,4410,flexdps,LDN,18.002167964805434,3.861663790557632,6016.5871087068135,7458.365849233483,5.111025605149808,3.520928750214312,10565.394144296646,317.0,67.99999999999999,105946.02367830275,131334.2914491892,90.00000000000001,62.0
63,63.0,8741.0,7693.0,maintank,Guxue,HZS,15.605346520657873,5.489317871588197,8565.314500277622,0.0,4.705129604218453,4.548291950744505,7651.223882913589,199.0,70.0,109225.23144865037,0.0,59.99999999999999,57.99999999999999,64,8741,7693,maintank,HZS,15.605346520657873,5.489317871588197,8565.314500277622,0.0,4.705129604218453,4.548291950744505,7651.223882913589,199.0,70.0,109225.23144865037,0.0,59.99999999999999,57.99999999999999
64,64.0,4664.0,4407.0,flexsupport,HaGoPeun,FLA,12.883194060435624,5.247368367312264,5192.744955984136,9178.702956766678,4.2340834412105846,3.184609767748132,16579.739387452602,355.99999999999983,145.0,143490.59679287672,253634.17156338692,116.99999999999996,87.99999999999999,65,4664,4407,flexsupport,FLA,12.883194060435624,5.247368367312264,5192.744955984136,9178.702956766678,4.2340834412105846,3.184609767748132,16579.739387452602,355.99999999999983,145.0,143490.59679287672,253634.17156338692,116.99999999999996,87.99999999999999
65,65.0,8750.0,7696.0,flexdps,Haksal,VAN,18.99056824817345,3.998014368036515,5728.500626250107,9515.24840537428,5.14030418747552,4.807136323472476,12606.2578471303,399.00000000000017,84.0,120358.25995326044,199919.458129406,108.0,101.0,66,8750,7696,flexdps,VAN,20.567146196102193,3.9878847202496166,5771.549206860945,9528.530139343353,5.169480192916169,5.095630475874511,16249.215949237348,557.0000000000001,108.0,156305.24903988838,258051.906521678,139.99999999999997,138.0
66,66.0,8723.0,7699.0,maindps,Happy,GZC,17.166693472478766,4.090637752097791,9686.055702605694,1071.6317163730484,4.51019034205654,5.768848111932782,17161.13825136423,491.0,117.0,277039.56837138534,30650.70006537437,129.00000000000003,165.0,67,8723,7699,maindps,GZC,17.166693472478766,4.090637752097791,9686.055702605694,1071.6317163730484,4.51019034205654,5.768848111932782,17161.13825136423,491.0,117.0,277039.56837138534,30650.70006537437,129.00000000000003,165.0
67,67.0,4671.0,7699.0,offtank,HOTBA,GZC,17.693144115788122,3.2169352937796587,6561.04267536656,5.7028061166679045,2.9721684779485966,5.4548033242350735,17159.18878030777,506.0,92.0,187636.9497704506,163.09254455566406,84.99999999999999,156.0,68,4671,7699,offtank,GZC,17.693144115788122,3.2169352937796587,6561.04267536656,5.7028061166679045,2.9721684779485966,5.4548033242350735,17159.18878030777,506.0,92.0,187636.9497704506,163.09254455566406,84.99999999999999,156.0
68,68.0,4645.0,4406.0,flexdps,Hydration,GLA,15.26732171898997,5.649581605265013,5366.840427338093,9203.882744214157,5.111526214287391,3.0601900361852143,17842.029205501083,454.00000000000006,168.00000000000009,159592.20607638362,273693.2412104608,152.00000000000003,91.0,69,4645,4406,flexdps,GLA,16.273051224331738,5.3853263044551065,5443.89912695784,9388.594718876391,5.151181682522275,3.0438800851267995,20500.150549590588,556.0000000000001,184.0,186001.25279903415,320779.34197676193,176.0,104.0
69,69.0,8782.0,7697.0,mainsupport,Hyeonu,WAS,6.677800953041069,6.260438393476001,3572.634840339715,7475.306214478678,3.756263036085601,0.8347251191301336,1437.599004149437,16.0,15.0,8560.027147769928,17910.821282744408,9.0,2.0,70,8782,7697,mainsupport,WAS,6.677800953041069,6.260438393476001,3572.634840339715,7475.306214478678,3.756263036085601,0.8347251191301336,1437.599004149437,16.0,15.0,8560.027147769928,17910.821282744408,9.0,2.0
70,70.0,8742.0,7694.0,mainsupport,HyP,PAR,17.179847776156144,5.52914641071692,6949.2632960332885,9931.78597204728,4.541798837374612,4.67344518048692,9115.331057667732,261.00000000000006,84.0,105574.72591707113,150885.86188185212,69.0,71.0,71,8742,7694,mainsupport,PAR,15.425265686913939,6.207728874001952,6932.703388086194,10173.799470350259,4.702824904546934,4.091457666955832,12758.28915977478,327.99999999999994,132.0,147415.7241402566,216333.79249382025,100.0,87.00000000000001
71,71.0,8717.0,7693.0,mainsupport,iDK,HZS,12.921970692478702,3.7146697076658683,4492.2694265029995,5487.169912911317,3.111432746591923,2.0637053931477043,18898.046266436577,407.0,117.0,141491.859105587,172827.9848099947,98.0,65.0,72,8717,7693,mainsupport,HZS,12.921970692478702,3.7146697076658683,4492.2694265029995,5487.169912911317,3.111432746591923,2.0637053931477043,18898.046266436577,407.0,117.0,141491.859105587,172827.9848099947,98.0,65.0
72,72.0,8754.0,7695.0,maindps,ivy,TOR,20.98341413958165,5.08293882884276,11699.440239610232,21.187433282501946,5.148104711263821,6.744668830579816,18414.543859720237,644.0000000000001,156.00000000000003,359066.4257107974,650.2615324258805,158.00000000000003,207.00000000000003,73,8754,7695,maindps,TOR,20.512677123274962,5.1281692808187405,11539.26202540636,18.123104429807167,5.044557825153215,6.800398394129197,21528.150486946102,736.0000000000001,184.00000000000003,414031.61565208435,650.2615324258803,180.99999999999997,243.99999999999997
73,73.0,5872.0,4405.0,flexsupport,IZaYaKI,VAL,14.111597045141387,5.027473148760446,8297.759985294155,11129.314420330027,5.374195434881855,3.8139451473355113,17304.915894269943,406.99999999999983,145.0,239320.06442725656,320986.4166744947,154.99999999999997,110.0,74,5872,4405,flexsupport,VAL,14.289237877228508,4.9253485268202475,8314.485168107254,10945.61682929295,5.297613241056661,3.751282889613096,20952.831954538822,499.0,172.00000000000003,290353.3508597613,382236.11677157885,185.0,131.00000000000003
74,74.0,4140.0,4525.0,flexdps,Jake,HOU,15.135334774230564,5.621695773285638,5068.241752131653,5944.5955285622595,4.162217062913403,4.540600432269169,11099.853588044643,280.0,104.0,93761.23566246033,109973.56667864324,76.99999999999997,84.0,75,4140,4525,flexdps,HOU,15.135334774230564,5.621695773285638,5068.241752131653,5944.5955285622595,4.162217062913403,4.540600432269169,11099.853588044643,280.0,104.0,93761.23566246033,109973.56667864324,76.99999999999997,84.0
75,75.0,4648.0,7697.0,maintank,Janus,WAS,9.517065353491262,6.85638041595607,6116.715258213431,0.0,3.7351923161551728,3.1723551178304215,11726.303839981556,186.00000000000003,134.0,119544.1027007699,0.0,73.0,62.00000000000002,76,4648,7697,maintank,WAS,9.517065353491262,6.85638041595607,6116.715258213431,0.0,3.7351923161551728,3.1723551178304215,11726.303839981556,186.00000000000003,134.0,119544.1027007699,0.0,73.0,62.00000000000002
76,76.0,8179.0,4409.0,mainsupport,Jecse,SEO,13.544963141018519,4.1706242439859285,3804.18859461868,5447.06803370438,3.0610086194392125,2.104443425864459,15681.105794727802,353.99999999999994,109.0,99423.13969218732,142360.08351266384,79.99999999999999,54.99999999999999,77,8179,4409,mainsupport,SEO,13.544963141018519,4.1706242439859285,3804.18859461868,5447.06803370438,3.0610086194392125,2.104443425864459,15681.105794727802,353.99999999999994,109.0,99423.13969218732,142360.08351266384,79.99999999999999,54.99999999999999
77,77.0,8811.0,7692.0,flexdps,JinMu,CDH,16.142269761024746,6.592131106596493,8166.0029244795705,4989.972626062245,5.155384583363924,6.1273013490800725,14198.746730983257,382.0,156.0,193245.01221525672,118085.59585332873,122.0,144.99999999999997,78,8811,7692,flexdps,CDH,16.323603969531813,6.584893321042558,8345.598891187874,4856.377456697163,5.094627990490821,6.411606654699331,17312.35335820913,470.99999999999983,190.0,240803.2616502046,140125.53761863706,146.99999999999997,184.99999999999997
78,78.0,8748.0,7696.0,offtank,JJANU,VAN,21.035550492879228,2.807912848597,6939.6811997681725,0.09661190678599632,1.8560779846658133,5.758600926783678,12607.228895187378,442.00000000000017,59.0,145816.9155751765,2.030014038085937,39.0,121.0,79,8748,7696,offtank,VAN,23.33511608593396,2.5845856424293943,7037.508238502386,0.07495350195381474,2.215359122082338,6.461464106073485,16250.186997294426,632.0000000000001,70.00000000000001,190601.37478443977,2.030014038085938,60.0,175.0
79,79.0,4653.0,4403.0,flexsupport,JJONAK,NYE,18.638153371612827,3.0437306917351585,8631.163532879129,8723.821048500611,4.62196142078302,5.03530756410508,15967.247080028057,496.0,80.99999999999999,229693.20119601488,232159.01027226445,123.0,134.00000000000003,80,4653,4403,flexsupport,NYE,18.52045241795032,3.0614823145875327,8956.78431290057,9159.425978848196,4.758937855348936,5.2439251527093385,19794.33286654949,610.9999999999999,101.0,295489.2835057377,302174.5444864035,156.99999999999997,173.00000000000003
80,80.0,4635.0,4405.0,maindps,KariV,VAL,17.730133556625997,4.845980104414046,11008.211182586972,44.875841158457774,4.999820742649412,5.3844223382378305,15600.559302985668,461.00000000000017,126.0,286223.7522895634,1166.8137021064756,129.99999999999997,140.00000000000003,81,4635,4405,maindps,VAL,17.80061090895347,4.832039738857771,10946.265258330994,36.37477533175642,5.081435338282692,5.4555287374200665,19246.53045630455,571.0,154.99999999999997,351129.3794620931,1166.8137021064756,163.00000000000003,175.00000000000009
81,81.0,3981.0,4402.0,mainsupport,Kellex,BOS,12.317257754782547,4.614429896334465,4707.370377177274,5992.3119139433875,3.4154048051609425,2.034709245627796,16513.41589576006,339.0,127.0,129557.94135618205,164922.56468677527,94.0,56.00000000000001,82,3981,4402,mainsupport,BOS,12.317257754782547,4.614429896334465,4707.370377177274,5992.3119139433875,3.4154048051609425,2.034709245627796,16513.41589576006,339.0,127.0,129557.94135618205,164922.56468677527,94.0,56.00000000000001
82,82.0,8691.0,7698.0,flexsupport,Kodak,ATL,15.076763760149582,5.072556031452198,7578.62077846761,9958.510804350484,5.072556031452198,4.227130026210164,4258.208261489868,107.0,36.00000000000001,53785.57601594925,70675.68829870224,36.00000000000001,30.0,83,8691,7698,flexsupport,ATL,15.267538424959946,5.167474543832596,7866.836978223136,10207.394051980898,5.167474543832596,4.110491114412293,5108.878578126431,130.00000000000006,44.00000000000002,66984.52485942839,86913.89468443395,44.00000000000002,35.00000000000001
83,83.0,8706.0,4407.0,mainsupport,Kris,FLA,13.173476878106053,4.342904465309688,3661.1322223136253,5023.936520622548,2.714315290818554,2.4609791970088226,16578.76671594381,364.0,120.0,101161.76171660423,138817.78595185274,74.99999999999999,67.99999999999999,84,8706,4407,mainsupport,FLA,13.173476878106053,4.342904465309688,3661.1322223136253,5023.936520622548,2.714315290818554,2.4609791970088226,16578.76671594381,364.0,120.0,101161.76171660423,138817.78595185274,74.99999999999999,67.99999999999999
84,84.0,8744.0,7694.0,mainsupport,Kruise,PAR,14.808634234649107,5.528556780935668,5238.251211784571,5455.9606430051035,3.4882560641617903,3.0933591512378147,9116.303222894669,224.99999999999997,84.0,79589.14400720596,82896.98598968981,53.0,47.00000000000001,85,8744,7694,mainsupport,PAR,13.825251752963547,6.066181891606456,5221.613367817068,5550.918538054047,3.5738746028069035,3.0095786128900244,12759.261325001717,293.99999999999994,129.0,111039.88249683382,118042.70036804676,75.99999999999999,63.99999999999999
85,85.0,5865.0,4405.0,maindps,KSF,VAL,17.240058610351415,4.573893100705479,11256.029445349837,0.0,4.925731031528977,5.629406893175972,1705.3306293487549,48.99999999999999,13.000000000000002,31992.086296677582,0.0,14.000000000000002,15.999999999999998,86,5865,4405,maindps,VAL,17.240058610351415,4.573893100705479,11256.029445349837,0.0,4.925731031528977,5.629406893175972,1705.3306293487549,48.99999999999999,13.000000000000002,31992.086296677582,0.0,14.000000000000002,15.999999999999998
86,86.0,4647.0,4405.0,mainsupport,KuKi,VAL,11.058968809691232,4.303490125038217,3812.680605245477,6237.37928337222,3.0524755538061767,1.6513392340262925,11990.26801520586,221.0,86.00000000000001,76191.7705221176,124646.41553354266,60.99999999999999,33.0,87,4647,4405,mainsupport,VAL,11.549373271921482,4.2974412174591565,3819.656425032016,5855.942851454214,3.0312308587435113,1.7650205000278676,15637.212145447733,301.0,112.0,99547.96306824684,152617.70113301274,79.00000000000001,46.0
87,87.0,8674.0,7699.0,flexdps,Kyb,GZC,14.249720630769696,3.336519952570467,4344.453489013631,7812.709180443355,4.518204102439174,3.4755416172609035,8631.748171567917,204.99999999999997,48.0,62500.38076709211,112395.56363880633,65.00000000000001,50.00000000000001,88,8674,7699,flexdps,GZC,14.249720630769696,3.336519952570467,4344.453489013631,7812.709180443355,4.518204102439174,3.4755416172609035,8631.748171567917,204.99999999999997,48.0,62500.38076709211,112395.56363880633,65.00000000000001,50.00000000000001
88,88.0,8772.0,7692.0,flexsupport,Kyo,CDH,12.803941622198325,5.239896901493703,5546.798229378046,8450.021603634877,4.563781172268709,3.084778014589035,14198.752646982668,303.0,123.99999999999996,131262.69340276718,199966.27768611905,108.0,72.99999999999999,89,8772,7692,flexsupport,CDH,13.203699398508356,5.094340712810308,5638.882652122422,8099.144406371281,4.574510027829667,3.2576056258787016,17313.32962834835,381.0,146.99999999999997,162713.05681961778,233705.26135849953,132.0,94.0
89,89.0,8786.0,7692.0,offtank,lateyoung,CDH,18.270496016711842,5.773205061042775,8341.588292146233,183.7256167919653,4.075203572500783,4.482723929750861,8833.914517283441,269.00000000000006,85.00000000000001,122814.79651865365,2705.027322292328,60.00000000000002,66.00000000000001,90,8786,7692,offtank,CDH,18.000954988214964,5.617747697664401,8633.97318011025,163.3995807734089,4.168006356331651,4.590847580887037,9932.806349277496,298.0,93.0,142932.6393714845,2705.027322292328,68.99999999999999,76.0
90,90.0,4654.0,4403.0,flexdps,Libero,NYE,19.636309095820586,3.2859146269215898,4654.385583574685,7770.702722470159,4.236058615429037,4.394415946846946,15155.597650647163,496.0,83.0,117566.65869271755,196282.7398742437,107.0,111.0,91,4654,4403,flexdps,NYE,18.36505022730397,3.3505943616079534,4609.089045029923,8117.814264554799,4.3937039270142035,4.014391357775567,18981.706866323948,581.0,106.0,145813.96195590493,256816.61794173717,139.00000000000003,127.0
91,91.0,4629.0,4525.0,flexdps,LiNkzr,HOU,18.587146779665133,5.290723427919664,6852.962606433021,5421.9159780548,4.873034736241795,5.569182555704908,8618.859144926071,267.0,76.0,98441.19905048607,77884.55018413067,70.0,79.99999999999999,92,4629,4525,flexdps,HOU,18.587146779665133,5.290723427919664,6852.962606433021,5421.9159780548,4.873034736241795,5.569182555704908,8618.859144926071,267.0,76.0,98441.19905048607,77884.55018413067,70.0,79.99999999999999
92,92.0,8891.0,4408.0,flexsupport,Luffy,SHD,16.22165660329639,4.6401482841987365,7826.760003781435,8736.583338204593,4.526973935803643,3.923377411029824,15904.664135694504,430.0,123.00000000000004,207469.98188471797,231587.372812748,120.0,104.0,93,8891,4408,flexsupport,SHD,16.371481840480367,4.824295979609236,7758.357218024176,9251.462487731664,4.6064245482720425,3.890561273878416,19277.424186468124,525.9999999999999,155.00000000000003,249268.57180333138,297240.61120200163,147.99999999999997,125.0
93,93.0,4093.0,4403.0,maintank,Mano,NYE,18.59830568425413,4.208101488154469,8150.926906756186,0.0,5.034692851899098,5.8988565503593895,15969.196605443954,495.0,112.0,216939.59048432115,0.0,134.0,156.99999999999997,94,4093,4403,maintank,NYE,17.883907808511935,4.364885973602913,7909.421065809869,0.0,4.910496720303279,5.668289424053782,19794.33151805401,590.0,144.0,260936.17115420106,0.0,162.00000000000003,186.99999999999997
94,94.0,8681.0,7698.0,mainsupport,Masaa,ATL,17.560087613098993,4.289487050527998,5072.143825698278,5857.394653503506,3.6192546988829983,3.306479601448665,13428.179015696047,393.0,96.0,113516.09214138982,131090.23995470998,80.99999999999999,74.0,95,8681,7698,mainsupport,ATL,16.411480209581224,4.5877546949511165,5138.662737636834,5991.295443077149,3.655284228497636,3.095801948625549,16086.300359785557,440.0,123.00000000000004,137770.12040877342,160629.63006925586,98.0,83.0
95,95.0,9285.0,4407.0,offtank,Mcgravy,FLA,14.211788957320671,3.3752998773636587,6016.591817605977,0.0,3.3752998773636587,3.908241963263184,3377.4776802659035,80.0,19.0,33868.17429205775,0.0,19.0,22.0,96,9285,4407,offtank,FLA,14.211788957320671,3.3752998773636587,6016.591817605977,0.0,3.3752998773636587,3.908241963263184,3377.4776802659035,80.0,19.0,33868.17429205775,0.0,19.0,22.0
96,96.0,4649.0,4403.0,offtank,MekO,NYE,21.755711312728053,2.780522689364207,7241.232405861211,13.933475763305152,3.0435451059256864,6.2373887356007875,15968.220712542534,579.0,74.0,192715.99547934526,370.8213604688645,81.0,165.99999999999997,97,4649,4403,offtank,NYE,21.430379383302554,2.879612505535704,7167.696969868065,11.240229757114792,3.0614827690432223,6.153277248671031,19794.32992821932,707.0,95.0,236466.26441177732,370.8213604688645,101.0,203.00000000000009
97,97.0,8242.0,4409.0,offtank,Michelle,SEO,19.018883423014074,2.984854943652108,7411.267069689091,21.176332022364427,2.296042264347776,5.051292981565107,15679.153889715672,497.00000000000006,78.0,193670.66150572893,553.3782809972763,60.00000000000002,132.0,98,8242,4409,offtank,SEO,19.018883423014074,2.984854943652108,7411.267069689091,21.176332022364427,2.296042264347776,5.051292981565107,15679.153889715672,497.00000000000006,78.0,193670.66150572893,553.3782809972763,60.00000000000002,132.0
98,98.0,5716.0,4404.0,mainsupport,moth,SFS,13.461112342918112,3.6132459446780185,4115.898847522245,7217.930704906149,3.4715500252788813,2.5859505290342693,16937.67901134491,380.0,101.99999999999996,116189.62253749373,203758.32234305143,98.0,73.00000000000001,99,5716,4404,mainsupport,SFS,12.858925215415654,3.7565399505708656,4176.348197886942,7091.142383079829,3.4097824166720163,2.2828204315007565,20763.78822702169,445.0,129.99999999999997,144528.01590538025,245398.2978832125,117.99999999999996,78.99999999999999
99,99.0,4623.0,4525.0,maintank,Muma,HOU,15.287341038698852,5.660722734950571,7171.990735773887,0.0,3.9658955687977056,4.982791868489426,17700.919951677322,451.00000000000006,167.0,211584.72318017486,0.0,116.99999999999996,147.0,100,4623,4525,maintank,HOU,15.287341038698852,5.660722734950571,7171.990735773887,0.0,3.9658955687977056,4.982791868489426,17700.919951677322,451.00000000000006,167.0,211584.72318017486,0.0,116.99999999999996,147.0
100,100.0,4642.0,4409.0,flexdps,Munchkin,SEO,16.718689947137438,4.897007581770235,5580.380656845329,7913.326543357362,4.973523325235393,3.672755686327676,15683.046986877918,436.99999999999983,128.00000000000003,145862.28674328327,206841.78666996962,129.99999999999997,96.0,101,4642,4409,flexdps,SEO,16.718689947137438,4.897007581770235,5580.380656845329,7913.326543357362,4.973523325235393,3.672755686327676,15683.046986877918,436.99999999999983,128.00000000000003,145862.28674328327,206841.78666996962,129.99999999999997,96.0
101,101.0,4612.0,7695.0,flexsupport,Neko,TOR,14.853389958693125,3.784303174189331,7699.212832438834,10635.500692249714,5.108809285155597,4.068125912253532,6341.986594438554,157.00000000000003,40.00000000000001,81380.50761842729,112417.00469231607,54.00000000000001,43.00000000000002,102,4612,7695,flexsupport,TOR,14.594536457407846,3.807270380193351,7118.206320704303,10170.947346382662,5.076360506924468,4.061088405539575,9455.593221664427,230.0,59.99999999999999,112178.10572743414,160287.23464393613,79.99999999999999,64.0
102,102.0,8236.0,4403.0,maindps,Nenne,NYE,22.99567878262797,2.7805232514942317,11310.695446006997,0.026347999783576232,5.072576202050288,7.777950176477108,15968.217484295368,611.9999999999999,74.00000000000001,301019.40796744823,0.7012176513671876,135.0,207.0,103,8236,4403,maindps,NYE,22.248799197631694,2.7886778285859894,11595.821628431735,0.0212551099715306,5.243926786362784,7.396058588858493,19794.32669997216,734.0000000000001,92.00000000000004,382552.46944630146,0.7012176513671876,173.00000000000009,244.00000000000009
